property_id,latitude,longitude,city,zone_type,property_type,property_value,year_built,elevation,distance_to_water,flood_zone
PROP_00000,-0.39101784851709437,35.947379096891915,Nakuru,Urban,Residential,9319122,1996,1816.1866214826623,6.086582834998608,medium
PROP_00001,-3.9985997302945457,39.81841489355495,Mombasa,Coastal,Residential,7634535,1977,28.674129479914644,0.9484371746079263,high
PROP_00002,0.4808224091760532,35.30817801786863,Eldoret,Urban,Residential,4482376,1965,1905.0960217550612,5.77806594007304,medium
PROP_00003,-1.2334327604914967,36.90590125674426,Nairobi,Urban,Residential,22632219,1980,1546.9483325442193,4.989137224978617,medium
PROP_00004,-4.136917224782532,39.74911479358905,Mombasa,Coastal,Residential,10643438,1985,1.0116100534544785,0.10727277722947903,high
PROP_00005,-1.4442079818780689,36.753938752579415,Nairobi,Urban,Residential,10373829,1989,1590.9171164589927,4.736886932525934,medium
PROP_00006,0.04807916474483276,34.613818079284016,Kisumu,Urban,Residential,11481191,2013,1577.872243045831,6.059296804169891,medium
PROP_00007,-4.027367352016543,39.608036210425986,Mombasa,Coastal,Residential,7542249,1972,16.536070721921888,0.7613062153525683,high
PROP_00008,0.06324015977338487,34.89684777412151,Kisumu,Urban,Residential,8208163,1961,1527.7462587638552,3.133013107841693,medium
PROP_00009,0.5598955688110615,35.197284915749776,Eldoret,Urban,Commercial,5472758,2022,1590.2307505505546,7.646948562555495,medium
PROP_00010,-0.09606593574147893,36.05462051093153,Nakuru,Urban,Residential,8786188,1983,1542.8388052195867,2.781662172841262,medium
PROP_00011,-1.17247447237525,36.76664383026225,Nairobi,Urban,Residential,8908442,1987,1997.4619255482753,2.8524470597355753,medium
PROP_00012,-1.175081891563973,36.781682210964654,Nairobi,Urban,Commercial,5818610,2002,1567.9750415960457,3.5662316129731413,medium
PROP_00013,-0.13870479543560355,36.133083531268475,Nakuru,Urban,Residential,7731386,1960,1974.0663283435883,9.839296559127764,medium
PROP_00014,-3.98538101358448,39.55896445261891,Mombasa,Coastal,Residential,7933033,1988,44.266151556083585,1.4150910736835274,high
PROP_00015,0.611971524645149,35.21968350856273,Eldoret,Urban,Commercial,23820607,1997,1683.1494339905391,8.200689480371345,medium
PROP_00016,-0.1982535328962318,34.81825331587538,Kisumu,Urban,Residential,6552092,1965,1766.267794121851,7.119037628036244,medium
PROP_00017,-0.3006701781893088,36.120057248189966,Nakuru,Urban,Residential,7279486,1995,1910.9949760894579,8.692983887306985,medium
PROP_00018,-0.029099077026942477,34.71148250335565,Kisumu,Urban,Residential,9416958,2014,1726.6638269372802,7.338767234203039,medium
PROP_00019,-4.194446847716703,39.690334064585976,Mombasa,Coastal,Residential,8681573,2012,37.74680548895787,1.397906147581194,high
PROP_00020,-3.808770448998913,39.68887639835968,Mombasa,Coastal,Residential,7901289,2010,26.598041993953828,0.003950315587401221,high
PROP_00021,-0.4376178058822924,36.110304439806065,Nakuru,Urban,Residential,21613690,1994,1946.5656669359728,4.835764805883818,medium
PROP_00022,0.649848893805128,35.324018688303724,Eldoret,Urban,Residential,2631053,1965,1596.6497692665657,4.924366761168619,medium
PROP_00023,0.5519985841298033,35.21874781367309,Eldoret,Urban,Residential,8348695,1991,1958.7070112120664,6.153500463060162,medium
PROP_00024,-0.0986941211073525,34.81177656645368,Kisumu,Urban,Commercial,9485689,1968,1914.3774115252395,2.202903763681891,medium
